"player_name","salary","season","avg_pts_per_min"
"ed davis",4449000,2019,0.179972764163941
"e'twaun moore",8808685,2019,0.452759686850752
"malik monk",3447480,2018,0.492020677127441
"pablo prigioni",947726,2016,0.701388888888889
"jared dudley",9530000,2019,0.106547120453654
"domantas sabonis",3529555,2020,0.580486982510174
"zach lavine",2148360,2016,0.520088121016058
"grayson allen",2074320,2019,0.451200879180603
"bradley beal",27093019,2020,0.865668206876782
"jerami grant",9346153,2020,0.654014194027993
"greg monroe",5479934,2015,0.52726190624106
"andrew wiggins",5510640,2015,0.592076724323313
"lebron james",37436858,2020,0.749989320313455
"de'aaron fox",4609200,2018,0.554038865460073
"corey brewer",8229375,2016,0.286629159419006
"markel brown",980431,2017,0.19375
"mo bamba",5697600,2020,0.508478868914286
"rajon rondo",9e+06,2019,0.350695926602459
"cory jefferson",49709,2016,0.392060272384816
"dahntay jones",387632,2015,Inf
"kris dunn",4221000,2018,0.375800082747421
"josh hart",1655160,2020,0.326578213248518
"quinn cook",1544951,2018,0.435317718089634
"kris humphries",4e+06,2017,0.333333333333333
"thon maker",2799720,2018,0.329282769760423
"joe johnson",1.1e+07,2017,0.30791054266051
"josh jackson",7059480,2020,0.529800648809667
"demarre carroll",15400000,2019,0.313245547344812
"jeff green",439475,2020,0.415825997305732
"nemanja bjelica",3950001,2016,0.35017518046188
"lonzo ball",7461960,2019,0.377212479869979
"jerami grant",8653847,2019,0.429163954221241
"kentavious caldwell-pope",1.2e+07,2019,0.373812269810829
"luke kennard",3275280,2018,0.411936280512381
"otto porter jr.",5893981,2017,0.462526160116295
"chandler hutchison",1990520,2019,0.407837995152662
"vincent poirier",2505793,2020,0.21547619047619
"rj hunter",1148640,2016,0.341865595488784
"donovan mitchell",3635760,2020,0.822489495798133
"andre roberson",1210800,2016,0.219308102883231
"cameron payne",2112480,2017,0.391669994075256
"pascal siakam",1544951,2018,0.529945791962732
"allen crabbe",18500000,2017,0.463283984463924
"denzel valentine",2092200,2017,0.383298044429121
"khris middleton",14700000,2016,0.458485617752728
"avery bradley",7191011,2015,0.463883692349785
"ian mahinmi",4e+06,2015,0.353702486334628
"randy foye",3e+06,2015,0.261326871491414
"jrue holiday",25686667,2018,0.60209090424416
"marcus morris sr.",2943221,2015,0.414009900276918
"eric paschall",898310,2020,0.540144549821797
"anthony davis",7070730,2016,0.787948742838612
"kevin love",24119025,2019,0.557340796219632
"jeremy lamb",2202000,2015,0.47517373164003
"aron baynes",6500000,2017,0.324540000680671
"kyle korver",5746479,2016,0.383774612840489
"justin anderson",2516048,2019,0.545693598254436
"nik stauskas",2869440,2016,0.339895467171373
"thabo sefolosha",4e+06,2016,0.288619066860623
"stanley johnson",3940402,2019,Inf
"tyus jones",1339680,2017,0.271571542702379
"darrell arthur",2814000,2016,0.40708841911089
"kirk hinrich",2732000,2015,0.203779103496959
"kevin love",24119025,2018,0.65363799199472
"damjan rudez",1149500,2016,0.213532940648787
"jalen jones",543471,2017,0.412090577715205
"nikola mirotic",5782450,2017,0.558810351120673
"deandre jordan",9881598,2020,0.350085693658299
"chris clemons",563347,2020,0.491421568627451
"gerald green",980431,2017,Inf
"taurean prince",2318280,2017,0.461132827532784
"frank kaminsky",3627842,2019,0.474727749312992
"omari spellman",1897800,2020,0
"monta ellis",8360000,2015,0.408270865436002
"richard jefferson",947276,2016,0.279685304443592
"marc gasol",22642350,2018,0.408261127871634
"ian clark",1471382,2018,0.384521885162861
"dennis schroder",1763400,2016,0.57067526466941
"evan fournier",1.7e+07,2018,0.473246617695771
"andre roberson",1160880,2015,0.210491295517787
"justin holiday",816482,2015,0.276355118966709
"jarell martin",1471382,2018,0.404111032802509
"eric gordon",13500375,2019,0.51682855066622
"marc gasol",15829688,2015,0.482449928229257
"kevon looney",1471382,2018,0.354036255216026
"alan williams",874636,2017,0.255170278637771
"kris humphries",1e+06,2016,0.348624910030903
"jordan bell",1620564,2020,0.286187916026626
"jusuf nurkic",1842000,2016,0.46847053793377
"cliff alexander",525093,2016,0.2
"gerald green",3500000,2015,0.450039490658016
"deandre jordan",21165675,2017,0.396477789869089
"gary payton ii",35116,2017,0.258246940470726
"alen smailagic",898310,2020,0.271159907344118
"patrick beverley",5027028,2019,0.315205574832705
"john lucas iii",269189,2015,0
"richaun holmes",1600520,2018,0.482501960639496
"myles turner",2357760,2016,0.469637244058078
"jeremy lamb",7488372,2019,0.444764374945093
"d.j. augustin",7250000,2019,0.425008123276085
"terrence ross",10500000,2018,0.567796859339492
"dario saric",3481986,2020,0.486081114334176
"thomas bryant",1378242,2019,0.534682269212074
"jarrett jack",57672,2017,0.308895034055428
"ramon sessions",2170465,2016,0.390821620469787
"boban marjanovic",7e+06,2017,0.689970499585884
"deandre ayton",9562920,2020,0.473373002692803
"amile jefferson",1529007,2020,0
"malik beasley",1773840,2019,0.470178182977371
"joe johnson",261894,2016,0.384112896986273
"lauri markkanen",5300400,2020,0.521834742194693
"demar derozan",10100000,2015,0.626890861244709
"kelly olynyk",2165160,2016,0.443519281446941
"luc mbah a moute",2203000,2017,0.296953525207264
"ron baker",4544000,2018,0.145720510426393
"mike muscala",5e+06,2019,Inf
"bogdan bogdanovic",8529386,2020,0.496274334390908
"jalen brunson",1416852,2020,0.500693646623057
"khris middleton",1300000,2018,0.593565288633369
"georges niang",650000,2017,0.286574074074074
"stephen zimmerman",950000,2017,0.666666666666667
"jakarr sampson",85458,2019,0.330127206969462
"demarre carroll",15400000,2018,0.42203973586304
"malachi richardson",1439800,2017,0.272549845593476
"lonzo ball",8719320,2020,0.460562053311765
"lance stephenson",4e+06,2017,0.42253753960501
"jordan clarkson",12500000,2019,0.630402916743631
"channing frye",8579088,2015,0.365422788185089
"jeremy lin",12516746,2018,0.473241742114725
"damion lee",842327,2020,0.364752089342698
"dion waiters",11550000,2019,0.470584298046704
"marcin gortat",11217391,2016,0.352604583262617
"anthony morrow",3344000,2016,0.442698035058039
"lamarcus aldridge",20575005,2017,0.690952882475102
"kevin love",15719063,2015,0.512935860873199
"daniel ochefu",543471,2017,0.210144927536232
"meyers leonard",9213483,2017,0.441776720059744
"trey burke",1795015,2019,0.438341965466975
"keith benson",845059,2016,0.746031746031746
"monte morris",1588231,2020,0.432807808913279
"isaac bonga",1416842,2020,0.173805715889049
"joakim noah",1.7e+07,2017,0.296296296296296
"mo williams",3965074,2015,0.458024071346052
"ed davis",6666667,2017,0.282283458814233
"jordan clarkson",12500000,2017,0.540095512548931
"roy hibbert",14898938,2015,0.259424517130828
"bobby brown",680534,2017,0.533030737378563
"jabari parker",2e+07,2019,0.570383377155588
"furkan korkmaz",1740000,2019,0.429841261614931
"james ennis iii",1621415,2019,0.374954237181059
"channing frye",7420912,2018,0.552958696766746
"james johnson",14651700,2018,0.368516171627741
"miles plumlee",12500000,2019,0.242857142857143
"rudy gobert",2121288,2017,0.415291446684397
"malik monk",4028400,2020,0.525722224299033
"patrick mccaw",4e+06,2020,0.111111111111111
"kelly oubre jr.",15625000,2020,0.531982449225417
"dwayne bacon",1378242,2019,0.297707227612188
"danilo gallinari",15050000,2017,0.491443968632701
"p.j. washington",3831840,2020,0.401085469033844
"rasual butler",915243,2015,Inf
"tyus jones",9258000,2020,0.381616037611097
"pierre jackson",525093,2016,0.433028083028083
"tyler zeller",1933941,2018,0.372506334180096
"nik stauskas",2993040,2017,0.306813101615598
"luke babbitt",1100602,2016,0.296840962666636
"jonathon simmons",525093,2016,0.361643846947535
"jj hickson",5381750,2015,0.452695211166962
"coby white",5307120,2020,0.493282174973944
"terry rozier",19894737,2020,0.605786112860537
"chris johnson",981348,2016,0.474603174603175
"tobias harris",17200000,2017,0.562177308881156
"chris paul",38506482,2020,0.529097977407691
"johnny o'bryant iii",845059,2016,0.610319640676784
"derrick williams",115344,2017,0.25
"zaza pachulia",3477600,2018,0.32135057173918
"bruce brown",1416852,2020,0.377087878620118
"malik beasley",1627320,2017,0.417115237039542
"trevor ariza",12195122,2020,0.31139609599704
"isaiah thomas",1620564,2020,0.492982456140351
"ben simmons",6434520,2019,0.477575764984815
"tyler ulis",918369,2017,0.311309072405423
"jamal crawford",5450000,2015,0.518724677845552
"brandon ingram",7265485,2020,0.702747892762413
"spencer dinwiddie",1656092,2019,0.660920930512202
"jamychal green",845059,2016,0.340819673983497
"danilo gallinari",20559599,2018,0.667337397474375
"lance thomas",7119650,2018,0.277054798328011
"alonzo gee",915243,2015,0.18644308275142
"vince carter",3911981,2015,0.356367236429839
"dwight howard",23819725,2018,0.510318800428132
"victor oladipo",6552961,2017,0.682136515552889
"zach lavine",19500000,2020,0.797935600806062
"pablo prigioni",1662961,2015,0.18414699961372
"jonas jerebko",5e+06,2016,0.254148167151992
"lebron james",35654150,2019,0.755999288049773
